location,property_type,area,bedrooms,bathrooms,age,condition,amenities_score,demand_score,rent
Suburbs,House,1817,1,1,24,poor,8,68,6858
Outskirts,Penthouse,4704,6,3,24,good,0,26,23857
Near Park,Penthouse,2498,3,3,18,poor,8,40,16128
Near Park,Apartment,727,5,2,15,poor,0,84,11453
Suburbs,House,5625,5,2,6,excellent,3,82,21106
City Center,Penthouse,5018,3,4,28,excellent,7,76,22615
Commercial Area,Penthouse,5664,6,1,6,average,9,98,28747
Near Park,Penthouse,5024,3,1,28,poor,2,27,18832
Commercial Area,Penthouse,904,3,1,2,excellent,3,41,7366
Suburbs,Apartment,1276,4,3,8,good,2,71,13185
Suburbs,Villa,5473,4,3,33,average,2,23,15048
City Center,House,2759,6,1,21,good,1,56,16072
Outskirts,Villa,3265,3,4,2,poor,7,3,13877
Commercial Area,Apartment,3577,6,2,29,poor,9,46,18048
Near Park,Villa,5674,1,1,12,excellent,0,85,19011
Outskirts,Penthouse,790,1,3,3,good,8,39,8557
Commercial Area,House,4560,2,2,33,poor,6,62,21180
Commercial Area,Penthouse,1772,5,2,15,average,1,92,12375
Outskirts,House,3081,6,1,13,average,1,73,16698
Outskirts,Villa,1041,2,4,7,good,6,74,10414
City Center,Penthouse,5903,5,3,14,excellent,7,16,23151
Near Park,Apartment,2005,1,3,25,average,9,79,12268
Near Park,Penthouse,3435,6,2,12,average,0,40,21376
Near Park,Studio,5244,6,2,8,good,9,24,21982
Outskirts,Apartment,1260,6,2,25,average,2,91,14310
City Center,House,1799,1,3,33,average,3,63,8574
Suburbs,Studio,3132,4,4,39,average,7,88,19590
City Center,Penthouse,5760,3,3,31,good,7,29,18304
Outskirts,Penthouse,2480,3,2,10,excellent,7,39,12512
City Center,Penthouse,1096,2,1,35,poor,4,88,8149
Outskirts,Penthouse,5574,4,2,3,good,6,15,17890
Commercial Area,Studio,642,3,4,2,average,8,76,11568
Commercial Area,Apartment,2643,4,3,21,good,8,44,16746
Suburbs,Studio,4780,4,2,12,excellent,6,40,19975
Commercial Area,Apartment,1586,5,3,33,excellent,9,66,15841
Suburbs,Villa,2504,2,2,10,good,1,67,10113
Near Park,Villa,604,6,4,38,excellent,6,26,11832
Outskirts,Apartment,3369,6,4,13,good,0,9,22018
Near Park,Apartment,1829,3,3,29,good,3,61,13084
Near Park,Apartment,1448,1,4,5,good,4,5,8217
Suburbs,Villa,2677,1,2,10,poor,6,24,12817
Outskirts,Apartment,2133,1,3,37,poor,4,71,11856
Suburbs,Apartment,5435,5,3,3,average,4,8,19825
City Center,Studio,2874,1,3,35,poor,6,56,11211
Near Park,House,5547,6,3,21,good,3,35,23183
Outskirts,Penthouse,1483,4,1,9,poor,6,89,13043
Near Park,Penthouse,4725,2,2,18,excellent,1,71,17666
City Center,Studio,2673,5,3,2,poor,4,12,14873
City Center,Apartment,2318,6,4,17,average,4,72,16930
Outskirts,House,5687,1,3,6,average,2,54,16275
Outskirts,Studio,2105,6,3,33,good,8,26,15511
City Center,House,5174,6,2,26,excellent,7,84,27610
Near Park,Villa,1342,3,4,16,average,3,57,12798
Commercial Area,House,2197,6,4,19,good,8,58,15462
Near Park,Studio,3237,5,1,8,excellent,7,46,13186
Commercial Area,Penthouse,5938,3,1,14,excellent,8,73,28158
Suburbs,Villa,2181,3,1,9,poor,8,92,12434
Outskirts,House,5051,4,1,38,average,5,24,16527
City Center,Penthouse,4101,4,4,1,excellent,2,20,21263
Suburbs,House,5043,2,3,2,average,5,59,23189
Near Park,House,953,5,1,9,excellent,2,70,11808
Commercial Area,Apartment,1919,1,4,5,excellent,7,86,12171
Outskirts,Penthouse,1245,5,4,28,good,4,84,15352
Commercial Area,Villa,926,2,3,31,excellent,3,15,9223
Near Park,Villa,951,6,2,19,good,4,98,12299
Near Park,Villa,5002,3,4,16,excellent,8,51,22827
City Center,House,3074,4,3,17,excellent,5,29,15497
Suburbs,Penthouse,2329,2,1,29,poor,2,15,6871
Outskirts,Villa,5458,2,2,2,average,9,74,21629
City Center,Villa,2642,2,2,29,average,6,7,8702
Commercial Area,House,2965,5,4,31,poor,0,19,13660
Suburbs,Studio,1243,5,2,32,poor,0,64,11115
Outskirts,Villa,4578,6,4,33,poor,4,14,21036
Commercial Area,Penthouse,795,4,3,31,average,1,46,10342
Outskirts,Villa,5565,1,4,14,good,2,80,16656
Outskirts,House,4082,5,2,34,good,5,84,23981
Suburbs,Studio,4703,4,2,34,poor,7,53,16232
Commercial Area,Studio,664,5,4,16,excellent,6,57,12325
City Center,Penthouse,347,6,3,10,average,5,50,11844
City Center,Studio,3069,6,1,24,good,7,32,19264
City Center,Villa,4024,5,3,18,average,9,23,23416
Outskirts,Apartment,4501,6,4,21,poor,6,48,22048
Near Park,House,2553,2,1,18,average,6,35,8874
Suburbs,Villa,4754,1,1,30,excellent,7,83,15173
City Center,Villa,5223,3,4,20,good,0,89,20522
Suburbs,House,2221,5,4,22,average,9,10,14234
Outskirts,House,2857,3,4,15,good,6,67,17012
Suburbs,Villa,2270,3,2,6,poor,4,51,11223
City Center,Studio,1393,2,4,38,good,0,96,9866
City Center,Penthouse,3150,6,4,23,average,1,63,20303
Outskirts,Villa,1045,4,2,24,excellent,0,84,10972
Outskirts,Apartment,2543,1,3,10,average,1,18,8305
Commercial Area,Villa,4964,4,2,18,good,9,6,19302
Outskirts,Apartment,585,1,2,21,good,0,41,4714
Near Park,Villa,3778,5,3,17,excellent,4,48,18692
Near Park,Villa,5285,2,1,15,average,8,79,17270
City Center,Apartment,2652,5,2,4,excellent,2,66,16918
Outskirts,Penthouse,2641,6,4,1,poor,3,17,17602
Near Park,Apartment,4047,5,2,38,poor,2,17,15142
Near Park,Penthouse,4355,3,2,22,excellent,2,45,13476
Commercial Area,Penthouse,4616,2,4,34,poor,7,51,21964
Outskirts,Apartment,3115,4,2,28,average,7,7,16508
Commercial Area,House,1076,1,2,17,good,2,65,6957
Suburbs,Apartment,2678,5,4,9,good,9,79,16073
Commercial Area,House,319,1,2,34,poor,2,29,3942
Suburbs,Villa,5583,1,4,25,average,4,34,22054
Suburbs,House,2398,2,2,14,average,1,92,13000
Outskirts,Studio,5310,1,4,34,average,5,17,15944
Suburbs,Villa,5383,1,3,33,good,7,45,19998
Suburbs,Villa,2166,3,3,6,excellent,0,36,14242
Commercial Area,House,780,6,2,13,average,1,2,10847
Outskirts,House,3907,3,2,38,poor,9,36,14074
Outskirts,Studio,3792,5,2,38,good,2,66,16326
Suburbs,Villa,2701,4,4,17,average,3,30,14791
Commercial Area,House,421,1,3,21,average,5,65,6159
Commercial Area,Apartment,2167,4,3,24,good,5,4,11848
Commercial Area,Penthouse,4235,3,2,37,good,3,55,18580
Commercial Area,Penthouse,3868,1,2,38,poor,1,61,11903
City Center,House,552,6,1,26,poor,6,23,10519
Suburbs,Studio,5076,4,2,23,excellent,3,37,20604
Suburbs,House,5638,1,1,37,good,3,69,11578
Suburbs,Studio,4987,6,1,19,poor,2,52,22273
Outskirts,Villa,1224,6,1,9,average,5,89,15787
Outskirts,Apartment,5842,2,1,24,good,6,17,19108
Commercial Area,Villa,597,2,4,29,good,5,78,9774
Outskirts,Apartment,4620,2,2,15,good,6,39,13570
Near Park,Studio,2945,6,2,30,good,0,81,19420
Suburbs,House,892,3,2,37,excellent,0,83,10066
Suburbs,House,4517,5,3,6,good,6,94,22426
City Center,House,723,4,1,8,good,6,61,8326
City Center,House,5915,1,3,4,excellent,4,33,24457
Near Park,Villa,1332,2,3,26,poor,9,11,7435
City Center,Villa,5386,1,2,26,good,0,46,21190
Commercial Area,Studio,867,4,3,36,good,1,34,9548
Commercial Area,Apartment,5957,2,4,27,poor,9,27,18631
Suburbs,Apartment,5898,2,1,37,excellent,1,35,21801
Commercial Area,Apartment,1461,3,1,18,average,4,55,10058
City Center,House,2505,4,4,32,excellent,7,1,14649
Near Park,Villa,343,1,1,11,average,9,22,5362
Commercial Area,Penthouse,425,1,2,27,poor,5,99,6840
Suburbs,Penthouse,1105,2,4,16,good,8,91,9233
Suburbs,House,4935,6,2,18,poor,7,24,25414
City Center,Penthouse,3134,6,1,3,average,4,56,15568
Commercial Area,Apartment,5521,1,3,1,poor,3,28,14006
City Center,Apartment,2774,6,1,38,excellent,1,70,16295
Suburbs,Studio,4285,4,1,28,poor,7,88,22618
Near Park,House,1448,3,3,26,good,3,23,8720
Commercial Area,Studio,2066,5,3,18,average,7,48,16814
Near Park,Apartment,5573,2,2,13,excellent,4,77,21404
Commercial Area,Villa,5403,3,2,0,poor,7,57,25000
Suburbs,House,5402,3,1,10,average,5,57,17991
Commercial Area,Studio,1981,4,1,0,poor,1,72,12949
Suburbs,Studio,4946,6,4,33,poor,0,69,26007
Outskirts,Apartment,4371,2,2,15,good,7,79,16849
Suburbs,Studio,903,3,1,11,average,7,95,8562
Suburbs,Apartment,1772,6,3,39,good,4,58,15830
Commercial Area,Villa,2691,6,3,21,average,8,37,15915
Near Park,Studio,2075,4,2,29,average,4,68,12310
Suburbs,Apartment,1490,3,1,39,average,3,17,8493
Commercial Area,Apartment,5193,4,1,5,average,1,66,15067
Suburbs,Villa,2310,1,2,39,excellent,2,11,8278
City Center,Studio,5241,2,3,9,good,2,82,17563
City Center,Villa,2014,3,4,17,excellent,1,97,12628
City Center,Villa,4711,2,3,22,excellent,8,20,15262
City Center,Villa,3245,4,3,36,good,2,24,15224
Near Park,Studio,3305,6,1,8,good,5,46,15377
Suburbs,Penthouse,3088,5,2,17,excellent,6,12,15691
City Center,Apartment,2641,2,4,26,poor,9,76,14059
Commercial Area,Apartment,4453,2,4,14,average,3,76,15689
City Center,Villa,463,4,2,30,good,3,15,7756
Outskirts,Villa,4586,5,2,19,poor,9,6,17100
Outskirts,Penthouse,2820,4,4,25,poor,3,97,14061
Near Park,House,4427,2,4,22,poor,3,22,15343
Outskirts,Apartment,4196,6,2,15,poor,2,95,25250
Commercial Area,House,2832,6,1,33,good,4,83,14782
City Center,Villa,4178,1,3,31,good,5,52,18246
Outskirts,Apartment,2018,3,4,38,average,3,69,13698
Outskirts,Apartment,2712,6,1,18,poor,0,59,13429
Near Park,Villa,3171,5,3,8,average,6,17,15760
Outskirts,House,2896,4,2,31,poor,7,24,13764
City Center,House,4283,6,4,29,poor,0,54,20169
Suburbs,Studio,747,6,1,12,poor,4,85,13207
City Center,Studio,1877,4,4,37,good,9,60,15752
Outskirts,Penthouse,2790,3,2,38,good,4,41,13957
Outskirts,Penthouse,2851,2,2,13,excellent,5,2,11683
Outskirts,House,1452,3,1,4,good,2,84,10357
Near Park,Villa,5400,2,2,13,poor,2,71,14438
Commercial Area,House,4518,2,4,24,excellent,2,76,21453
City Center,Apartment,2069,6,2,12,average,3,71,13637
Outskirts,Studio,973,1,1,34,good,3,27,5115
Suburbs,Studio,841,1,3,12,average,9,36,6865
Near Park,House,3975,4,1,33,good,9,54,18226
Commercial Area,Apartment,2819,3,2,10,excellent,8,79,12841
Outskirts,House,4085,4,1,15,excellent,6,32,17811
City Center,House,3816,6,1,32,good,2,66,20236
Suburbs,House,1064,3,3,34,average,6,65,9336
Near Park,Apartment,4641,4,4,14,average,4,27,18133
City Center,Studio,4783,5,3,4,good,0,15,23681
City Center,Villa,723,5,4,35,excellent,2,39,12550
Near Park,Penthouse,1605,1,2,5,average,0,30,7120
City Center,Apartment,4667,5,3,29,average,3,38,18596
Suburbs,Studio,2529,4,4,33,good,7,58,16357
Suburbs,House,4400,3,1,24,average,5,6,15102
City Center,Villa,3080,2,2,22,good,1,66,12686
Outskirts,Penthouse,4622,4,3,12,excellent,5,73,17117
City Center,Penthouse,2631,2,4,22,poor,7,31,15915
Outskirts,Apartment,722,6,3,15,average,5,73,12824
City Center,House,3089,2,2,9,good,4,74,16650
Commercial Area,House,3249,6,2,0,poor,8,64,15911
Suburbs,Villa,665,3,3,26,good,7,51,10418
City Center,Penthouse,1184,2,2,19,excellent,4,71,8304
Suburbs,Apartment,4355,4,2,0,poor,3,37,19124
Near Park,House,3049,5,1,20,good,8,75,14547
Commercial Area,Penthouse,411,2,3,0,excellent,0,62,7631
Outskirts,Penthouse,3549,5,4,33,excellent,0,93,18278
Near Park,Studio,5593,5,1,19,average,5,88,26546
Commercial Area,Villa,4677,1,1,24,good,0,55,18369
Near Park,House,1972,3,3,28,good,1,77,10924
Suburbs,Studio,1081,6,3,32,poor,4,22,11438
Commercial Area,Villa,1280,4,4,27,excellent,2,54,11003
Near Park,Studio,438,3,4,10,good,5,67,10396
Outskirts,House,2937,2,1,17,good,7,34,12986
Commercial Area,Apartment,5836,4,4,20,poor,5,50,26681
Commercial Area,Studio,2515,4,4,22,excellent,1,89,16661
Near Park,Studio,914,3,3,33,good,2,66,10296
City Center,Penthouse,1951,5,2,7,excellent,8,77,15631
Outskirts,House,1094,2,1,22,good,1,17,5628
Outskirts,Studio,339,3,1,16,poor,8,54,6011
Near Park,Apartment,4419,2,4,30,excellent,3,1,20876
Suburbs,Studio,2198,4,3,39,poor,6,53,15553
Suburbs,Villa,4506,3,4,32,good,1,83,20999
City Center,Apartment,1961,6,2,39,good,9,3,13985
City Center,Apartment,4464,3,1,11,good,0,74,21553
Near Park,Studio,2035,1,1,24,excellent,5,37,9937
Suburbs,Studio,4468,1,4,19,poor,4,41,16572
Outskirts,Penthouse,5105,2,4,3,poor,9,38,24913
Suburbs,House,1467,3,1,39,poor,8,48,9215
Near Park,Penthouse,5233,3,1,36,average,1,39,18477
Suburbs,Villa,425,5,3,36,average,1,25,10828
Commercial Area,House,4821,1,3,9,good,4,46,18348
Near Park,Penthouse,3647,5,1,12,average,3,72,18341
Commercial Area,Penthouse,4029,1,3,31,poor,2,61,14029
Near Park,Studio,3640,6,2,3,excellent,6,70,23878
Outskirts,Penthouse,570,4,4,14,good,2,77,11078
Near Park,Studio,5838,6,1,8,good,6,7,26607
Near Park,Apartment,4597,3,4,12,poor,1,58,18309
Near Park,House,4799,4,4,6,average,4,5,20769
Near Park,Studio,5642,2,1,7,good,1,77,18966
City Center,Penthouse,5051,1,2,22,poor,1,60,13243
Commercial Area,Studio,1165,2,1,1,good,4,64,9146
Near Park,Apartment,1843,6,3,26,poor,5,95,18033
Near Park,Villa,2918,6,1,17,average,3,22,17922
City Center,Villa,3770,4,4,9,excellent,1,81,22222
Suburbs,Apartment,4850,2,4,7,poor,8,95,24965
City Center,Penthouse,494,4,3,21,poor,4,53,10458
City Center,House,1280,6,4,37,average,3,14,13347
City Center,House,4208,5,3,30,poor,1,52,18491
Near Park,Studio,5834,3,4,32,poor,4,25,18889
City Center,Villa,4161,5,3,30,excellent,6,79,24194
City Center,Apartment,3512,4,1,16,poor,9,20,17497
City Center,Penthouse,3925,6,2,38,good,3,16,17342
Near Park,Apartment,2712,6,2,21,excellent,2,26,17587
Outskirts,Villa,3472,4,4,10,poor,1,40,21629
Outskirts,Apartment,2274,2,1,24,excellent,9,49,12133
Suburbs,Apartment,997,2,3,4,average,3,23,7119
Near Park,Apartment,4915,1,4,13,poor,2,82,22983
City Center,Studio,2370,3,4,33,good,0,56,14131
City Center,Penthouse,2557,3,1,29,average,7,61,14428
City Center,House,4216,5,2,37,poor,7,40,15575
Outskirts,Penthouse,4297,2,4,31,poor,3,89,16153
City Center,Villa,3504,3,2,30,good,4,99,19636
City Center,House,1866,5,3,31,average,6,58,15184
Outskirts,Studio,4002,2,2,29,poor,8,90,14696
City Center,House,3997,4,1,20,excellent,3,17,18045
Suburbs,House,2201,2,3,37,poor,9,22,12218
Commercial Area,House,3455,5,4,14,good,6,20,20381
Suburbs,Apartment,5350,6,1,36,average,0,1,21535
Near Park,Villa,4867,6,2,17,good,1,14,17423
Suburbs,Studio,3506,6,3,15,average,7,5,22780
Suburbs,Villa,5865,4,1,18,average,1,99,20263
Outskirts,Apartment,1368,5,1,17,excellent,3,34,12670
Near Park,Studio,5913,1,4,37,average,3,63,17004
Suburbs,Apartment,3154,6,4,7,poor,4,71,19921
Commercial Area,Studio,2749,4,1,22,average,9,7,15061
Suburbs,Studio,1286,3,1,3,average,8,51,10280
City Center,Penthouse,5436,1,2,35,average,1,56,20696
Outskirts,Apartment,2722,3,1,4,poor,9,8,14825
City Center,Villa,4094,5,1,35,poor,2,3,15156
Near Park,Apartment,3482,6,1,13,good,8,8,13730
Near Park,Apartment,4903,2,2,21,poor,8,39,21949
Outskirts,Apartment,571,2,1,30,good,9,45,7217
Suburbs,Penthouse,4972,2,2,25,average,9,90,18250
Near Park,Penthouse,2626,4,2,0,excellent,7,97,13878
Commercial Area,Penthouse,1454,3,3,35,poor,1,24,9335
Outskirts,Penthouse,3225,4,2,1,good,8,45,13907
City Center,Apartment,4304,2,2,33,excellent,1,77,13303
Commercial Area,Villa,2286,6,3,24,average,2,51,13994
Outskirts,House,3158,6,2,23,excellent,8,57,16481
Commercial Area,Apartment,5441,3,2,6,poor,1,41,16769
Outskirts,Villa,5276,2,3,0,poor,2,59,21140
City Center,House,1504,5,4,4,excellent,5,47,15394
Suburbs,House,3601,3,3,15,good,3,15,19418
Outskirts,Penthouse,2077,3,1,16,average,4,98,14152
Near Park,House,2722,5,3,36,good,6,5,16411
City Center,Villa,1235,3,3,15,average,2,15,9608
City Center,Penthouse,889,6,4,33,average,9,87,14803
Commercial Area,Apartment,5927,5,2,29,poor,4,54,19331
Near Park,Apartment,4059,3,1,17,good,9,20,16648
Commercial Area,Penthouse,2335,2,3,14,excellent,3,2,10724
City Center,Penthouse,1541,4,3,32,good,8,88,12892
Outskirts,House,5411,1,4,16,good,9,73,19075
Near Park,House,4118,2,4,23,poor,0,98,11996
City Center,Villa,3414,1,3,18,average,7,90,13080
Near Park,Penthouse,4648,6,2,3,poor,5,4,26513
Outskirts,Apartment,3650,6,3,5,good,5,79,22878
Suburbs,Villa,897,1,1,22,good,3,94,5748
Commercial Area,Apartment,436,3,4,1,excellent,8,74,10488
Commercial Area,Apartment,1411,3,1,18,good,6,26,8368
City Center,Villa,5603,2,3,20,poor,5,3,15840
City Center,Apartment,650,5,3,23,poor,1,91,12640
Outskirts,Penthouse,4453,4,3,21,average,1,65,24133
City Center,Penthouse,1892,4,3,15,excellent,2,28,11788
City Center,Villa,5283,1,2,36,good,0,25,10625
City Center,Apartment,1585,1,4,25,good,4,93,8842
Near Park,Apartment,5898,6,1,29,good,7,61,30225
Near Park,House,1148,6,3,19,excellent,2,63,13437
Suburbs,Studio,2053,3,3,20,poor,5,3,11658
Near Park,Villa,5149,2,2,36,excellent,4,97,14797
Commercial Area,Apartment,1222,5,4,32,poor,3,15,12424
Suburbs,Villa,1442,2,1,35,excellent,7,40,7759
City Center,House,1093,5,1,28,excellent,0,1,6897
Commercial Area,Villa,479,1,3,2,good,7,79,8640
Suburbs,Penthouse,3691,2,4,15,poor,4,88,20240
Suburbs,Apartment,2019,1,2,14,excellent,2,71,9481
Commercial Area,House,1498,2,1,35,average,2,15,5864
Suburbs,Penthouse,3104,2,2,2,excellent,9,55,12907
Commercial Area,Studio,4758,5,2,7,average,1,94,18945
Suburbs,Studio,5186,2,1,10,excellent,5,93,22199
Suburbs,Villa,1387,1,2,34,excellent,7,38,6998
Suburbs,Apartment,1891,5,1,25,good,1,56,13725
Commercial Area,Studio,1150,1,3,9,good,9,10,8059
Suburbs,House,5660,4,1,3,poor,7,41,21227
Near Park,Apartment,1002,4,3,1,excellent,1,68,11526
Near Park,House,5411,3,4,34,average,5,28,16275
Near Park,House,4642,2,3,22,average,0,85,22572
Near Park,House,1845,6,2,20,average,2,74,14481
Near Park,Studio,2594,1,3,21,poor,1,71,12057
City Center,Villa,2598,4,1,38,good,4,19,10147
Suburbs,Studio,5265,5,4,24,average,7,10,25328
Outskirts,Studio,4495,6,3,32,good,9,27,21143
City Center,Villa,3506,2,3,22,poor,7,56,17638
Commercial Area,Penthouse,2912,5,2,9,poor,1,25,17118
City Center,House,4023,6,2,0,excellent,8,36,24848
Outskirts,Penthouse,5275,3,4,20,good,9,22,21760
City Center,House,3800,2,1,16,excellent,3,54,15871
Suburbs,Penthouse,3454,5,4,39,average,7,74,21057
Near Park,House,2838,6,2,37,average,3,28,18497
Suburbs,Villa,5967,3,1,33,good,3,72,23894
City Center,Villa,4285,4,1,28,average,7,53,19706
Outskirts,Villa,5698,5,2,2,excellent,7,19,27990
Commercial Area,Apartment,3255,3,3,4,poor,4,66,16889
Suburbs,House,5883,6,1,10,excellent,2,49,24653
Outskirts,Villa,4063,3,1,22,good,8,49,13836
Commercial Area,Penthouse,5843,4,2,13,excellent,8,56,19112
Near Park,Apartment,3778,3,2,14,excellent,8,94,20826
Suburbs,Apartment,2125,1,3,7,average,2,55,11924
Suburbs,Villa,2347,6,1,21,good,8,24,17630
Near Park,Studio,1885,6,3,17,excellent,9,82,18505
Near Park,Villa,1186,5,1,8,poor,3,54,12020
City Center,Studio,5578,5,1,6,excellent,7,66,20495
Commercial Area,Villa,2458,3,2,24,average,4,1,9422
Outskirts,House,1501,1,3,7,excellent,1,7,9411
Near Park,Penthouse,2725,5,2,8,poor,8,37,14925
City Center,Studio,4025,5,1,7,good,2,45,15385
Commercial Area,Studio,1168,5,3,21,good,2,49,12198
Commercial Area,Apartment,1920,4,3,34,poor,8,85,15383
Suburbs,Studio,3735,5,2,19,poor,4,34,18000
City Center,House,4071,3,1,25,excellent,7,51,20893
City Center,Penthouse,2384,5,4,4,poor,2,91,17703
Suburbs,Studio,1715,3,2,12,average,2,74,12433
Outskirts,Apartment,3930,5,3,25,excellent,1,64,16059
Near Park,Penthouse,1270,2,3,37,good,7,28,8874
Suburbs,Studio,5546,6,2,9,poor,0,87,26079
Near Park,House,1834,2,4,34,average,3,81,10313
City Center,House,5836,5,2,10,poor,6,39,19684
Suburbs,Penthouse,3444,2,4,39,excellent,6,42,16982
Outskirts,Apartment,559,2,3,2,good,2,93,9285
Near Park,House,1914,3,1,2,poor,5,60,9297
Near Park,Villa,3200,6,3,7,good,0,43,18448
Near Park,Villa,741,2,1,7,poor,6,10,5508
City Center,Studio,4150,3,3,3,poor,9,85,17647
Near Park,House,3155,3,1,30,excellent,3,12,12794
Commercial Area,Villa,1653,3,1,31,excellent,4,7,8189
Near Park,Studio,3435,6,2,10,excellent,4,62,22788
City Center,Studio,621,1,4,33,excellent,8,73,8127
Suburbs,Studio,883,4,3,18,excellent,3,51,11305
Near Park,Apartment,1576,3,4,21,average,0,16,12761
Near Park,Studio,1272,4,3,17,good,5,10,11794
Suburbs,Apartment,3463,5,3,3,excellent,3,70,15446
Commercial Area,Villa,5586,1,1,26,poor,3,67,14106
City Center,Studio,5864,1,1,25,poor,1,50,13064
Suburbs,Villa,1142,3,1,38,poor,8,75,9236
City Center,House,3867,1,2,34,poor,4,37,10090
Suburbs,Apartment,1587,3,3,38,good,1,60,9857
Outskirts,Villa,5931,3,3,11,average,7,45,17066
Commercial Area,Studio,3862,3,4,27,poor,5,31,17069
Outskirts,Villa,1962,2,3,31,good,5,57,11705
Suburbs,Studio,1117,6,3,21,average,1,94,14160
Suburbs,Penthouse,4643,5,4,30,poor,1,44,22543
City Center,Apartment,2032,6,4,22,good,4,51,16045
Suburbs,House,1875,2,4,29,average,6,23,11498
City Center,Villa,5501,6,1,18,good,1,74,26233
City Center,Villa,372,6,4,23,excellent,9,16,13567
Suburbs,Penthouse,1358,6,3,22,average,9,79,15748
City Center,Studio,3458,5,3,5,poor,4,78,17769
Commercial Area,House,5429,1,1,3,excellent,0,57,15023
Outskirts,Studio,1916,6,2,5,poor,0,63,15615
Suburbs,Studio,4736,2,2,14,good,6,90,16608
City Center,Villa,4521,5,3,20,excellent,6,28,20097
City Center,Villa,5927,5,2,31,average,0,24,26857
City Center,Villa,5626,2,1,30,poor,8,63,21752
City Center,Apartment,1061,2,1,39,good,3,5,5394
Commercial Area,Apartment,1954,3,2,37,excellent,7,61,13476
Suburbs,Villa,3633,6,1,28,excellent,5,2,20050
Suburbs,Studio,3893,4,2,28,average,7,20,15134
Commercial Area,House,453,4,2,38,excellent,8,86,10073
Commercial Area,House,1681,6,4,26,average,7,57,13637
Commercial Area,Studio,2611,3,4,34,poor,6,46,13398
Suburbs,Penthouse,721,6,2,39,average,5,42,12188
Near Park,Studio,508,1,4,38,poor,3,5,5448
Outskirts,House,766,2,2,3,good,3,34,8222
Commercial Area,Penthouse,875,5,1,27,poor,6,72,9335
Commercial Area,Penthouse,2206,1,1,4,poor,9,35,7900
Suburbs,House,2278,4,2,36,good,6,68,14348
Suburbs,Penthouse,2893,6,4,39,excellent,8,37,18381
Outskirts,Apartment,3750,6,2,25,poor,3,6,18234
City Center,Villa,2567,5,2,23,poor,1,19,13284
Suburbs,Penthouse,1963,4,4,31,excellent,5,15,13582
Outskirts,Penthouse,2123,2,4,37,good,9,48,14032
Suburbs,Apartment,1111,2,3,34,excellent,7,93,11475
Suburbs,Apartment,1666,5,4,29,poor,8,70,15660
Suburbs,Studio,3456,4,1,0,poor,0,43,13601
