location,property_type,condition,area,bedrooms,bathrooms,age,amenities_score,crime_index,market_volatility,economic_stability,demand_score,risk_score
City Center,Apartment,average,644,4,3,29,6,63.24,1.85,1.48,99,58.24
Near Park,Apartment,poor,3604,1,2,7,9,21.06,1.41,0.93,35,24.4
Commercial Area,Penthouse,good,1583,1,2,14,8,81.43,1.41,1.28,84,50.32
Near Park,Apartment,average,4034,4,3,9,6,26.65,0.63,0.9,18,31.12
City Center,Villa,average,4579,4,3,37,5,20.8,1.8,0.84,44,48.69
Near Park,House,excellent,4076,2,3,6,6,77.38,1.72,1.19,13,62.41
Outskirts,Villa,poor,2671,1,3,5,0,8.47,0.57,0.74,47,20.5
Near Park,House,excellent,1788,4,3,12,8,98.0,1.63,0.93,63,55.45
Suburbs,House,poor,4404,5,1,11,5,85.22,1.1,1.12,80,43.87
Suburbs,Studio,poor,1212,5,3,2,9,48.16,1.52,1.28,5,40.64
Outskirts,Apartment,poor,4732,5,4,10,9,29.1,1.83,0.8,97,39.55
City Center,Studio,good,4030,1,3,23,0,70.76,1.12,0.77,74,67.62
Suburbs,House,excellent,1427,5,3,34,9,81.47,1.16,0.52,54,52.43
Commercial Area,Penthouse,average,4874,1,2,14,3,90.02,0.51,0.71,35,50.85
Suburbs,Penthouse,average,2695,6,4,31,0,2.23,0.81,1.34,84,17.77
Suburbs,Studio,average,4097,6,1,32,5,82.22,0.88,0.71,47,53.53
City Center,Studio,good,3099,6,4,0,9,42.03,1.13,0.71,31,34.23
Near Park,Apartment,poor,2591,3,1,19,9,8.85,1.67,1.2,81,24.7
Suburbs,Studio,poor,3469,2,3,4,4,42.21,1.21,0.52,11,52.04
Outskirts,Studio,average,805,6,3,21,3,58.22,0.72,0.54,11,43.72
Near Park,Villa,poor,2080,5,3,7,9,18.31,1.24,1.21,54,15.85
Commercial Area,Studio,poor,5110,4,1,3,8,60.09,0.91,1.23,44,22.94
City Center,Studio,good,742,2,2,23,1,75.37,1.72,0.89,6,73.29
Commercial Area,Villa,excellent,2529,4,4,32,1,85.18,0.66,1.44,92,48.31
Near Park,House,good,576,3,1,8,9,78.48,1.53,0.74,57,52.03
Near Park,House,excellent,3798,5,3,2,9,31.54,0.52,0.9,65,15.93
Near Park,Villa,excellent,5622,6,2,23,9,32.99,1.57,0.65,73,40.6
Commercial Area,Apartment,excellent,3886,5,1,35,2,64.64,1.63,1.17,49,64.96
Near Park,Studio,good,786,1,4,5,4,12.19,0.88,0.86,48,26.85
Commercial Area,Apartment,good,3418,4,4,10,5,83.77,1.78,1.23,96,66.32
Near Park,Penthouse,excellent,3965,6,2,34,7,29.95,1.75,1.31,71,43.39
Outskirts,Apartment,poor,1394,3,1,19,6,29.4,1.68,0.91,31,37.18
Near Park,Studio,average,4553,1,1,18,5,23.21,1.06,1.03,29,31.97
Commercial Area,House,poor,2651,5,3,34,4,5.39,1.07,0.56,31,40.25
Suburbs,Studio,average,3949,1,4,31,1,62.34,1.97,0.87,89,79.41
Near Park,Studio,poor,4416,2,4,13,1,70.43,1.31,1.45,22,60.98
Suburbs,Studio,excellent,5065,5,2,34,7,75.93,0.55,0.51,97,38.88
Outskirts,Apartment,average,790,2,1,11,2,76.43,1.73,0.51,1,76.14
City Center,House,poor,1973,1,4,11,7,3.63,1.47,1.22,97,11.56
Outskirts,House,poor,1860,3,1,38,9,7.06,1.11,0.5,34,23.04
Near Park,Apartment,good,5139,1,3,10,6,10.2,1.21,1.1,52,18.27
Suburbs,Apartment,excellent,4497,2,2,24,5,40.68,0.66,1.36,6,17.28
Suburbs,Apartment,average,4693,3,3,21,5,71.64,1.81,0.88,45,61.66
Commercial Area,Penthouse,average,2040,2,1,12,3,59.2,1.01,1.33,2,52.59
Suburbs,Penthouse,average,1568,2,3,37,7,53.01,1.93,0.58,66,54.52
Commercial Area,Studio,good,415,2,2,4,1,27.69,1.43,1.02,9,42.7
City Center,Penthouse,poor,3536,1,2,14,3,50.19,1.87,1.08,84,55.86
Near Park,Apartment,good,3012,2,3,35,1,65.44,0.55,1.42,49,39.11
Commercial Area,Apartment,average,4925,3,2,5,4,31.84,1.13,1.23,27,36.28
City Center,Apartment,average,5647,4,3,7,6,52.5,1.23,0.52,21,40.55
Suburbs,House,poor,2333,6,2,21,8,69.85,0.56,1.49,50,30.85
Suburbs,House,average,3447,3,1,36,9,47.16,1.55,1.25,74,41.4
City Center,Penthouse,poor,1468,2,1,1,2,99.03,1.16,1.36,9,58.76
Suburbs,Villa,average,2074,1,1,30,5,96.75,1.56,1.28,48,67.3
City Center,Villa,excellent,3729,4,3,6,1,84.09,1.18,0.55,22,69.09
Commercial Area,Apartment,average,4096,6,4,7,4,60.89,1.21,0.89,57,47.48
Commercial Area,House,average,2874,1,3,39,3,50.69,1.55,0.78,44,69.19
City Center,Studio,excellent,1980,5,3,31,7,90.99,1.27,0.8,67,61.71
Commercial Area,Penthouse,excellent,4187,2,3,4,8,60.42,0.9,1.21,55,27.72
Commercial Area,House,average,505,3,4,9,4,12.84,0.69,0.9,57,23.38
Commercial Area,Apartment,average,5196,3,1,33,6,14.37,1.81,1.32,58,32.49
Outskirts,Apartment,excellent,5611,3,1,36,3,22.63,1.99,0.96,70,54.53
Near Park,Villa,good,334,4,2,28,9,36.05,0.64,0.54,85,27.85
Suburbs,Apartment,good,4092,1,1,33,7,53.51,1.46,0.56,20,53.71
Outskirts,Apartment,poor,5047,2,4,14,3,39.66,1.13,0.98,22,42.57
Commercial Area,Studio,good,3036,1,2,35,4,76.47,0.61,0.74,34,49.7
City Center,Penthouse,excellent,4832,3,2,26,8,3.53,1.2,1.42,85,5.69
Commercial Area,Studio,poor,1238,5,1,9,7,36.25,0.61,1.24,62,15.22
Near Park,Villa,average,3450,4,2,36,6,4.49,0.71,1.07,70,3.1
Commercial Area,House,good,3544,6,2,14,1,42.15,1.39,1.36,15,45.03
City Center,Villa,good,2324,6,3,35,0,37.18,1.04,0.64,62,60.05
Near Park,Apartment,average,5725,5,4,31,4,94.94,1.69,0.99,61,85.96
Commercial Area,Penthouse,excellent,2446,6,4,22,9,54.08,1.71,1.25,91,45.15
Near Park,Apartment,good,2541,6,4,9,9,7.69,0.6,0.85,51,14.4
Suburbs,Penthouse,poor,4037,2,1,0,2,42.5,1.34,1.15,63,37.03
Suburbs,Penthouse,good,428,2,4,21,9,16.21,1.79,1.36,78,29.33
Commercial Area,Penthouse,average,560,2,2,35,2,39.71,1.07,1.2,3,50.93
Near Park,House,poor,5835,3,4,1,3,8.58,0.73,1.24,1,15.43
City Center,Villa,average,1589,1,3,5,1,38.39,1.81,1.31,44,50.41
Commercial Area,House,excellent,3288,4,1,30,8,28.7,0.77,0.7,53,32.25
Suburbs,House,average,1403,2,1,14,4,69.99,0.52,0.67,29,36.93
Suburbs,House,excellent,3192,4,4,38,2,32.2,1.56,1.47,64,47.62
Commercial Area,Studio,excellent,4070,4,2,17,1,83.04,0.95,1.23,15,49.43
Near Park,Studio,poor,3715,2,1,28,4,85.97,0.81,0.81,3,56.94
Suburbs,Studio,average,4069,2,4,31,6,79.27,0.8,0.7,96,55.07
Near Park,House,good,360,4,3,15,3,66.43,1.12,1.4,73,51.02
Suburbs,Apartment,good,1792,4,2,17,8,59.03,1.04,1.39,55,36.34
Suburbs,Studio,poor,5168,3,2,22,2,21.96,0.59,0.67,54,32.99
Outskirts,Studio,good,3493,2,3,11,6,4.82,1.28,0.64,38,24.59
Suburbs,House,poor,3193,5,4,18,7,80.65,1.25,1.01,21,46.69
City Center,Villa,average,2782,3,1,12,7,19.27,1.45,1.45,35,22.89
Commercial Area,Apartment,excellent,470,1,2,10,9,85.32,1.42,0.94,61,57.22
Commercial Area,Penthouse,excellent,3986,5,2,26,3,70.39,1.01,0.87,95,57.42
Near Park,Penthouse,average,2056,1,4,3,7,23.4,0.85,0.55,76,22.34
Suburbs,Apartment,average,4263,4,4,19,0,83.39,1.82,1.35,12,74.98
City Center,House,average,4820,5,3,23,2,29.08,1.48,0.62,4,57.14
Near Park,Villa,average,1186,1,2,21,9,25.8,0.66,1.28,70,7.24
Outskirts,Villa,poor,1771,1,4,35,4,51.36,1.7,1.0,90,57.31
Near Park,Penthouse,good,5108,1,4,2,2,84.26,0.73,0.9,79,51.53
Near Park,Villa,good,3156,2,2,10,0,76.13,1.71,1.45,89,67.5
Suburbs,Penthouse,good,4844,1,4,34,3,27.7,1.82,0.6,79,65.26
Outskirts,Studio,good,4219,5,3,32,4,42.39,0.87,1.01,48,36.24
Near Park,House,excellent,2126,3,1,16,1,75.65,0.91,0.77,21,61.2
City Center,Villa,poor,1594,5,4,22,2,16.72,1.33,0.77,55,47.81
City Center,House,poor,1405,3,2,16,1,30.17,1.55,0.6,72,60.57
Commercial Area,Studio,good,4431,6,4,12,8,77.36,1.49,0.89,52,51.82
Outskirts,Apartment,poor,5841,4,2,31,6,19.75,0.51,1.32,63,15.78
Outskirts,Apartment,poor,3191,4,2,9,6,6.83,0.69,0.96,61,3.91
Commercial Area,Apartment,average,1301,3,3,1,4,21.56,1.65,0.55,73,42.66
Near Park,Penthouse,average,3190,5,3,4,8,27.26,0.79,0.94,96,3.1
Outskirts,Penthouse,average,2496,2,1,25,4,75.04,1.25,0.61,45,71.02
City Center,Apartment,good,3241,5,2,6,7,34.12,0.63,0.91,84,21.63
City Center,Studio,poor,2747,4,2,33,7,79.19,0.61,1.42,13,33.72
Suburbs,Penthouse,good,4654,1,2,6,4,76.7,1.73,1.15,68,66.04
Outskirts,Apartment,average,5901,5,3,11,7,68.36,0.94,0.58,7,46.16
Near Park,House,poor,5187,5,1,27,2,80.5,1.03,1.0,21,56.8
Commercial Area,Apartment,average,3899,6,1,36,6,35.36,0.92,1.24,48,20.84
Commercial Area,Apartment,good,2064,4,1,4,4,24.42,0.96,0.98,23,24.32
Near Park,House,excellent,3971,1,3,18,8,72.89,1.88,0.88,24,61.05
Suburbs,Penthouse,average,2578,6,3,11,3,1.34,1.85,0.93,42,38.41
Commercial Area,House,good,413,2,1,30,0,73.7,1.22,0.84,36,73.19
Outskirts,Penthouse,average,4453,1,1,23,8,68.43,1.04,0.63,17,54.1
Suburbs,Studio,good,1702,2,1,22,4,8.2,1.76,0.74,10,43.27
Outskirts,Penthouse,poor,4053,4,3,23,4,22.59,0.92,1.39,13,20.45
City Center,Villa,good,4624,1,2,34,8,57.43,1.45,1.28,7,40.16
Suburbs,Penthouse,excellent,2742,4,2,37,0,90.92,1.85,0.63,10,86.42
Commercial Area,Villa,poor,3805,3,2,12,5,15.94,1.69,0.62,80,46.44
Suburbs,Penthouse,excellent,1730,4,2,30,4,42.62,1.29,0.81,12,54.97
Suburbs,House,excellent,3136,1,4,31,7,86.81,1.75,1.41,6,61.51
Suburbs,Penthouse,excellent,5775,1,3,2,1,86.27,0.55,1.04,55,44.38
Suburbs,Apartment,average,2499,2,1,37,1,95.18,1.56,0.71,15,81.72
Outskirts,Penthouse,poor,951,6,2,36,0,70.74,1.18,1.02,91,72.79
City Center,House,poor,3931,5,2,17,5,3.13,1.2,1.39,61,19.71
Near Park,House,poor,4606,3,3,28,1,19.89,0.97,1.48,29,30.32
Suburbs,Penthouse,excellent,5438,3,2,13,8,75.89,1.35,1.39,79,43.21
Commercial Area,Penthouse,excellent,1500,2,1,24,4,42.66,0.95,1.23,22,39.94
Suburbs,Penthouse,poor,4302,3,2,31,2,27.86,1.72,0.99,63,52.19
Commercial Area,Studio,poor,4400,5,2,27,4,62.19,1.56,0.75,16,62.2
Outskirts,Villa,average,5927,5,2,19,2,41.26,1.52,1.13,46,44.7
Commercial Area,Penthouse,excellent,1014,5,1,16,8,74.28,0.51,0.67,34,37.54
Near Park,Penthouse,poor,4337,5,3,38,2,16.6,1.92,0.76,1,49.21
City Center,Villa,excellent,1412,4,1,5,2,17.17,1.87,0.97,91,47.12
Commercial Area,Apartment,average,4191,1,3,11,3,82.33,0.97,1.32,25,47.48
Commercial Area,Studio,poor,1914,6,1,1,1,23.14,1.53,1.06,97,39.06
City Center,Studio,poor,3102,6,3,25,5,66.69,1.8,1.04,45,67.13
Near Park,Apartment,good,1749,3,4,19,3,87.36,1.64,0.69,47,75.11
Suburbs,Villa,average,4630,6,4,38,0,92.9,1.51,1.29,46,73.93
Commercial Area,Villa,good,926,1,3,39,5,52.81,0.78,0.78,35,35.56
City Center,House,good,3488,2,1,28,7,58.98,1.21,1.35,95,36.61
Outskirts,Villa,average,1421,4,1,30,1,59.19,1.04,0.86,77,51.05
City Center,Studio,poor,1101,4,4,25,6,24.17,1.06,1.16,33,26.64
Outskirts,House,average,522,5,1,21,0,15.44,1.0,1.25,73,25.6
Near Park,Penthouse,excellent,2147,2,2,39,7,21.83,1.57,0.84,72,43.19
Suburbs,Penthouse,poor,3424,5,4,20,0,38.89,0.61,1.35,66,29.97
City Center,Penthouse,excellent,1960,2,4,28,8,33.1,1.51,1.48,69,34.29
Commercial Area,House,average,2677,4,2,35,4,26.56,0.73,0.92,71,36.36
Near Park,Studio,excellent,3316,5,2,19,4,38.23,0.59,1.0,80,26.77
City Center,Villa,excellent,4887,5,3,27,4,82.67,0.84,1.02,75,57.93
Commercial Area,House,average,994,6,2,16,9,66.9,1.18,0.92,20,47.02
City Center,Studio,good,4977,2,1,15,3,64.69,0.83,0.68,12,52.34
Outskirts,Villa,good,1706,6,2,16,7,76.2,1.45,0.9,70,57.28
City Center,Apartment,good,4928,1,3,2,2,34.94,1.94,1.05,37,50.43
City Center,Studio,average,2977,2,1,23,0,70.46,0.82,1.07,23,56.02
City Center,Apartment,good,1608,1,4,6,7,42.35,1.81,1.37,43,49.86
Near Park,Penthouse,good,1669,5,2,15,7,21.49,0.68,1.09,59,21.42
City Center,Penthouse,average,2062,5,1,21,1,25.59,1.93,1.08,42,58.58
Commercial Area,Studio,good,2242,3,2,38,8,59.49,0.88,1.49,57,39.08
Outskirts,Apartment,good,5403,5,4,0,4,37.74,0.62,1.22,84,23.83
Outskirts,House,poor,1860,4,3,5,6,26.11,0.75,0.85,27,22.22
City Center,Villa,excellent,2445,4,1,10,9,88.49,1.25,1.4,38,39.74
Near Park,Penthouse,good,4788,1,1,15,9,67.11,1.75,0.91,68,51.82
Near Park,Penthouse,excellent,5016,2,4,18,1,14.85,1.81,0.9,56,51.27
Commercial Area,Penthouse,good,4459,2,2,2,8,82.26,0.78,1.03,70,31.01
City Center,Penthouse,good,3071,6,3,26,0,81.81,1.71,1.32,35,71.02
Outskirts,Studio,excellent,3165,2,1,17,2,37.52,1.48,0.83,29,51.56
Near Park,Studio,good,5052,1,2,11,0,73.45,0.63,0.91,13,44.24
City Center,Apartment,poor,5051,2,3,23,7,61.91,0.69,1.26,26,34.13
Near Park,House,poor,4858,1,1,36,0,34.65,0.94,0.77,9,43.45
Near Park,Apartment,excellent,5777,3,1,5,3,39.78,1.05,1.38,1,22.69
Outskirts,House,excellent,3513,3,2,1,0,48.66,1.2,1.43,43,38.1
Suburbs,Studio,average,1564,6,3,15,9,96.66,0.53,1.27,15,36.46
Commercial Area,Penthouse,good,5791,1,3,14,7,10.77,1.13,1.38,26,13.93
Commercial Area,Apartment,average,1213,4,1,6,6,89.71,1.33,1.02,6,57.66
Outskirts,House,poor,4598,3,3,21,2,91.28,1.43,1.2,78,61.19
Near Park,Villa,excellent,3149,3,4,20,3,83.27,0.98,0.81,6,53.02
City Center,House,good,5396,3,2,9,7,96.39,1.77,1.2,92,66.17
Near Park,Apartment,poor,507,4,1,10,1,22.28,1.21,0.68,78,34.02
Outskirts,Studio,poor,2515,5,4,28,1,79.37,1.73,0.55,6,83.65
Commercial Area,Penthouse,good,2958,3,4,29,4,5.76,0.93,1.39,23,21.04
Near Park,Villa,excellent,666,4,3,15,0,23.83,1.56,0.65,92,59.06
Commercial Area,Apartment,excellent,1517,4,1,18,2,15.93,1.68,1.39,67,42.73
City Center,Studio,good,5133,6,3,30,2,56.39,1.96,1.08,6,68.76
Commercial Area,House,poor,1836,2,4,14,4,91.73,0.84,1.31,22,55.1
Commercial Area,Studio,poor,1219,1,4,32,8,32.78,1.55,0.65,69,41.08
Suburbs,Studio,good,3629,1,4,39,2,6.75,1.97,0.86,6,52.66
Suburbs,Penthouse,average,5302,6,1,0,9,21.56,1.29,0.65,74,29.46
Suburbs,Apartment,good,901,2,2,20,5,72.96,0.87,0.79,23,55.14
Commercial Area,Studio,excellent,4689,2,3,30,1,63.19,0.65,1.0,77,49.17
Outskirts,House,average,5511,2,3,9,5,63.09,1.32,0.62,81,48.01
Commercial Area,House,average,759,4,1,2,2,71.95,1.74,1.36,99,62.32
Outskirts,Penthouse,excellent,3268,2,4,33,3,46.57,1.36,1.02,26,52.72
Outskirts,Studio,good,1322,3,4,11,4,40.73,1.03,1.19,69,28.39
Suburbs,House,good,2318,6,4,17,1,78.83,0.91,1.48,49,49.06
Near Park,House,average,778,1,2,17,0,41.41,0.55,0.67,72,36.14
City Center,Penthouse,excellent,3513,2,4,22,9,37.92,1.7,1.37,26,28.96
Suburbs,Studio,average,3093,4,1,16,6,40.04,0.52,1.37,1,6.84
Suburbs,Penthouse,poor,4452,4,3,1,8,22.95,1.31,1.17,78,22.48
Near Park,Studio,average,2505,6,2,12,9,62.66,1.94,1.11,19,55.95
City Center,House,poor,3300,3,2,38,1,83.44,1.95,1.36,22,80.96
Commercial Area,Apartment,good,3905,1,1,34,8,64.42,1.38,0.89,95,50.64
Commercial Area,House,good,1640,3,1,17,1,5.19,1.58,1.34,33,22.34
Suburbs,Apartment,excellent,1481,1,2,15,6,29.28,1.17,1.19,82,26.87
City Center,Studio,average,3927,6,4,29,0,27.1,1.07,0.62,18,48.27
Suburbs,Studio,poor,5415,5,1,35,3,72.87,1.31,1.26,21,51.58
Outskirts,Villa,excellent,5507,6,3,8,4,5.0,1.68,1.38,16,30.82
Suburbs,Studio,poor,3687,3,1,17,8,20.6,1.45,0.94,92,29.42
Suburbs,Studio,excellent,3586,6,3,34,2,65.54,1.59,0.72,15,75.02
Commercial Area,Villa,good,2099,3,3,38,7,36.87,1.43,0.53,36,50.87
Commercial Area,Apartment,average,940,4,4,34,3,80.18,1.59,0.76,95,69.8
Commercial Area,Studio,average,3422,4,4,5,1,30.09,1.39,1.31,82,37.9
Outskirts,Penthouse,excellent,5851,1,3,37,6,86.4,1.24,1.13,89,55.71
Commercial Area,Studio,excellent,1947,2,4,5,9,3.88,1.25,1.0,29,15.26
City Center,Studio,excellent,1642,5,1,23,7,47.38,1.5,1.14,50,36.57
Near Park,House,average,2544,6,1,38,6,37.59,1.26,1.3,35,30.99
City Center,Studio,good,3960,3,1,12,2,34.75,0.73,0.58,56,37.86
City Center,Studio,excellent,5987,3,1,30,7,11.79,1.91,1.49,48,39.81
Commercial Area,Penthouse,excellent,4043,1,4,35,4,23.2,1.04,1.09,14,36.02
Near Park,Villa,average,2436,6,3,36,5,14.21,1.72,0.67,56,41.53
Near Park,Villa,good,2308,4,4,8,7,29.26,1.45,0.82,88,25.41
Near Park,Villa,poor,872,4,4,16,9,2.06,1.39,1.23,2,20.23
Outskirts,House,poor,2134,3,3,28,1,48.92,1.67,1.02,50,64.13
Commercial Area,Studio,good,2015,2,2,18,5,86.47,1.95,1.29,46,65.79
Near Park,Apartment,good,1567,4,2,25,6,40.65,1.45,1.0,99,45.28
Outskirts,Apartment,excellent,4017,5,2,34,3,78.77,1.09,1.03,79,49.05
Suburbs,Penthouse,average,2039,2,2,23,4,89.26,1.28,1.45,16,55.89
Suburbs,House,average,1749,1,3,19,3,78.27,0.92,0.73,4,59.97
Outskirts,House,good,2117,3,3,8,3,52.1,0.63,1.46,56,19.14
Outskirts,Studio,poor,3240,5,2,21,9,99.43,1.42,0.55,85,63.32
Commercial Area,Apartment,average,726,5,1,11,4,80.56,1.87,1.26,31,66.97
Commercial Area,House,good,2784,1,4,35,9,72.91,0.89,0.97,75,35.04
Suburbs,Penthouse,excellent,1314,6,2,39,3,67.46,1.98,0.75,91,78.1
Near Park,Apartment,average,1694,5,2,5,0,91.08,1.52,0.95,31,68.63
Suburbs,House,poor,2433,2,2,17,0,1.87,1.73,1.21,26,45.92
Near Park,Studio,poor,5179,3,1,6,7,7.44,1.03,0.78,40,13.69
Near Park,Studio,poor,1652,4,4,14,2,92.96,1.65,1.42,80,61.64
Commercial Area,Studio,good,5751,5,1,35,2,16.97,0.5,0.97,88,29.03
City Center,Studio,average,5870,3,1,28,5,66.39,1.78,1.02,16,66.24
City Center,Apartment,poor,3577,2,4,18,8,12.15,0.54,0.94,82,16.77
Outskirts,Apartment,excellent,4098,6,1,9,3,21.35,0.51,1.04,49,25.12
Commercial Area,House,excellent,1604,3,3,1,3,49.63,1.7,0.87,22,44.7
Near Park,Penthouse,average,1759,6,3,37,8,71.72,1.0,1.24,48,45.53
City Center,Villa,average,3008,1,2,8,7,80.37,0.76,0.6,8,46.73
Near Park,Villa,poor,2536,3,3,14,7,15.61,0.6,1.23,71,13.61
City Center,Studio,excellent,3444,2,1,15,6,2.1,1.57,1.39,31,33.41
City Center,House,excellent,5964,5,1,24,6,21.21,1.65,1.05,61,42.14
City Center,Villa,average,812,4,1,28,9,47.05,0.98,1.41,90,28.91
Commercial Area,Villa,good,1889,1,3,24,8,67.67,1.08,0.6,22,49.35
Suburbs,Villa,poor,4833,1,3,5,5,45.6,1.31,1.4,39,38.86
Near Park,Villa,good,4774,1,4,3,8,92.8,0.51,0.95,2,47.05
Commercial Area,Villa,good,1219,5,3,12,9,65.53,0.97,0.52,74,37.54
Commercial Area,House,excellent,4080,3,3,29,1,9.77,1.88,0.55,51,56.27
Commercial Area,Villa,excellent,5872,4,4,21,1,87.79,0.87,1.43,45,48.96
Commercial Area,Villa,excellent,5573,5,1,22,1,23.64,0.82,1.06,86,32.14
Commercial Area,House,poor,2293,2,4,19,4,68.08,1.26,0.74,29,65.75
Outskirts,Apartment,good,3899,6,4,15,4,27.13,0.53,1.15,73,16.44
Near Park,Apartment,good,4006,3,1,16,9,25.27,1.13,0.57,27,31.61
Commercial Area,Apartment,good,4721,5,4,34,9,50.71,1.67,1.48,24,39.07
Near Park,Villa,excellent,4067,2,4,13,0,14.78,0.56,1.32,86,17.79
Outskirts,House,poor,5035,2,4,11,2,32.44,0.94,0.96,24,27.57
Outskirts,Apartment,excellent,2985,2,2,12,3,9.36,1.42,0.94,67,36.78
Near Park,Studio,good,3261,2,4,12,6,64.87,1.01,0.85,22,47.83
City Center,Studio,average,4642,4,4,11,1,4.08,1.11,1.33,50,26.84
Suburbs,House,excellent,3598,4,1,28,4,5.09,1.99,0.62,99,56.88
City Center,Villa,excellent,953,5,1,10,0,38.3,0.71,1.22,21,28.0
City Center,Apartment,poor,3173,6,1,25,6,71.01,0.79,0.65,58,42.65
City Center,Villa,average,2898,6,4,23,0,35.59,1.8,1.0,98,61.48
Commercial Area,Apartment,poor,1140,2,3,29,1,17.9,0.91,0.91,31,36.01
Outskirts,Penthouse,excellent,5874,3,3,22,6,50.35,0.62,1.49,53,10.39
City Center,Penthouse,poor,1596,6,2,23,2,91.8,1.46,0.92,44,70.31
Outskirts,Villa,excellent,687,2,1,36,9,87.44,1.65,1.49,25,63.43
Near Park,Studio,average,1903,6,1,22,4,40.1,1.28,0.94,8,36.86
Suburbs,Villa,poor,1505,6,4,26,2,52.61,1.08,0.97,69,43.32
Near Park,Apartment,average,3332,5,4,13,2,98.83,1.98,0.73,62,94.34
Near Park,Villa,excellent,2744,5,2,35,0,60.39,1.29,1.35,26,44.36
Commercial Area,Villa,excellent,4118,1,4,9,3,81.02,1.57,1.18,16,68.66
Suburbs,Apartment,average,4446,4,4,6,1,97.95,1.77,1.5,21,74.92
Near Park,Studio,poor,1811,4,2,35,2,93.7,1.37,1.03,39,77.9
Near Park,Penthouse,average,2297,5,3,7,8,38.97,0.83,0.91,74,28.4
Suburbs,Apartment,average,3243,1,3,30,3,65.12,1.41,0.98,36,54.3
Suburbs,Villa,good,3793,1,4,29,9,94.36,0.55,0.86,2,47.73
Near Park,House,average,4075,3,2,31,6,80.88,0.58,1.35,1,40.87
Suburbs,Villa,average,3782,2,3,31,9,36.74,1.36,0.92,44,32.54
Near Park,Villa,good,3041,5,3,37,7,52.32,1.06,0.57,90,48.76
Near Park,House,good,3169,3,2,12,6,16.87,0.73,1.05,46,11.84
Commercial Area,Villa,average,4726,1,1,36,7,55.97,1.96,1.49,1,48.39
City Center,House,excellent,967,1,1,0,6,21.58,1.77,1.4,77,30.21
Near Park,Villa,good,1659,1,1,3,2,70.5,1.06,1.02,6,50.2
Outskirts,Studio,average,5924,1,4,9,1,51.47,1.41,0.86,69,55.6
City Center,Penthouse,excellent,2280,5,1,0,2,68.32,1.26,0.93,68,55.8
City Center,Studio,poor,820,3,3,5,1,3.47,1.57,1.12,28,42.9
City Center,Apartment,excellent,5258,4,2,35,2,32.91,1.08,0.86,37,53.12
Commercial Area,Apartment,poor,5157,6,3,24,1,24.47,1.85,1.38,83,46.19
Near Park,Villa,average,1290,3,2,22,4,45.53,1.63,0.61,61,63.11
Commercial Area,Apartment,average,5376,3,4,2,9,30.73,1.16,0.58,96,29.71
Near Park,Apartment,good,2160,5,2,0,0,95.62,1.04,0.73,22,67.65
Commercial Area,Villa,poor,4697,3,3,19,9,25.65,1.28,1.2,92,22.69
Commercial Area,Villa,excellent,5054,3,1,19,7,66.11,1.54,1.2,59,51.46
Outskirts,Penthouse,excellent,512,3,2,4,7,94.09,1.8,1.48,35,51.84
Commercial Area,House,excellent,3209,6,2,24,3,84.46,0.88,1.35,35,41.64
Suburbs,Villa,average,2680,6,1,1,9,42.26,1.89,1.41,53,27.16
Outskirts,Penthouse,poor,2846,6,2,18,3,36.95,1.45,0.56,82,54.45
Commercial Area,Studio,average,4830,2,1,33,3,59.38,0.82,1.15,71,42.23
City Center,Apartment,average,876,5,1,34,0,95.85,1.22,0.97,5,84.61
Suburbs,House,excellent,3505,1,2,20,5,12.72,0.62,0.95,1,17.19
Suburbs,Studio,good,3710,3,2,22,3,81.84,1.55,0.73,39,78.18
Suburbs,Villa,excellent,1858,4,1,21,7,63.67,1.07,0.54,21,49.89
Outskirts,Studio,average,615,5,4,12,5,82.34,1.28,1.24,9,48.28
Commercial Area,Penthouse,excellent,777,4,1,7,2,39.84,0.7,0.91,90,39.22
Commercial Area,Villa,average,4798,4,1,9,0,95.43,1.23,0.73,69,62.27
City Center,Villa,excellent,4074,2,1,17,0,37.39,1.37,1.1,27,53.88
City Center,House,poor,2233,1,4,34,2,37.21,1.27,0.93,29,44.79
Suburbs,Penthouse,excellent,3612,4,3,37,6,23.89,1.23,1.2,52,24.67
City Center,Apartment,average,5749,3,3,12,0,68.79,1.27,1.38,74,55.31
Outskirts,Studio,poor,5899,3,4,10,3,0.28,0.71,1.05,27,14.22
Commercial Area,House,good,2745,5,4,37,6,59.32,1.62,1.29,58,52.78
Suburbs,House,poor,5715,1,3,10,6,56.64,1.1,1.11,3,43.35
City Center,Villa,excellent,1852,4,1,18,1,53.39,0.65,0.72,9,45.14
Outskirts,Studio,poor,553,4,1,19,1,75.09,0.54,1.27,1,47.14
Outskirts,House,excellent,4562,6,3,37,2,85.76,1.71,1.45,34,68.69
City Center,Villa,average,889,1,4,36,5,39.89,0.94,1.44,27,22.84
Commercial Area,Villa,average,2989,6,4,24,4,89.59,1.24,0.87,65,60.55
City Center,Penthouse,average,4952,1,3,25,7,24.31,0.8,0.76,5,18.75
Suburbs,Villa,excellent,2728,3,4,33,5,31.02,0.82,1.47,93,19.13
City Center,Apartment,good,4835,6,1,31,0,1.54,0.77,0.56,37,27.58
Outskirts,Penthouse,average,2752,3,2,10,1,92.56,0.72,0.89,40,61.44
City Center,Penthouse,average,1094,5,2,0,6,43.17,1.39,0.5,37,43.66
