location,property_type,condition,area,bedrooms,bathrooms,age,amenities_score,demand_score,price
satellite town,plot,old,4762,3,2,2,2.02,0.96,68014864
wapda town,flat,new,4240,3,4,7,1.22,1.16,82197355
satellite town,house,old,2228,2,3,2,1.26,1.06,35520543
university road,plot,old,3595,5,3,1,1.99,1.12,91888232
wapda town,plot,old,2297,5,1,1,1.73,0.96,32365566
aziz bhatti town,plot,old,5558,2,4,28,2.67,0.42,55493343
wapda town,house,old,1956,1,2,18,4.72,0.93,23047845
wapda town,flat,used,899,6,4,26,4.47,1.17,17947120
wapda town,flat,old,5574,4,5,12,4.81,0.97,85396152
wapda town,house,old,4819,1,1,4,3.39,0.82,54875449
satellite town,flat,old,2765,6,4,17,4.66,1.09,51464897
university road,house,new,5317,2,1,5,1.57,0.75,98933550
model town,house,used,1774,5,4,8,2.65,1.01,32630205
wapda town,plot,new,5941,2,2,32,3.21,0.71,64210662
aziz bhatti town,flat,new,3752,4,5,22,3.35,0.43,52374477
wapda town,plot,used,3783,2,4,0,3.05,0.71,43578064
aziz bhatti town,flat,old,3021,1,2,0,1.36,0.87,64537232
satellite town,house,used,4140,1,3,14,1.05,1.09,72133713
aziz bhatti town,plot,used,2073,4,2,11,4.93,1.17,72719188
model town,house,old,1959,1,4,14,1.35,0.55,15553219
university road,house,used,2088,2,1,13,4.67,0.99,47392343
aziz bhatti town,plot,old,1408,5,3,2,4.6,1.14,48240645
aziz bhatti town,plot,old,3533,5,1,22,4.4,1.0,90775729
university road,flat,old,698,3,3,18,1.96,1.04,13312989
model town,flat,used,3376,2,3,19,3.98,0.74,38155477
wapda town,plot,old,1137,3,3,21,1.34,0.61,8351448
aziz bhatti town,flat,new,1731,5,4,25,1.82,1.2,66216934
university road,house,used,1427,2,2,31,2.11,0.66,18700900
satellite town,house,new,3405,5,1,30,1.34,1.16,69981176
university road,house,new,4856,5,3,21,2.78,0.72,89531255
satellite town,house,new,3241,5,4,25,1.78,0.92,56609613
model town,house,used,5192,3,5,5,3.07,0.48,44569682
wapda town,house,old,3631,6,1,20,2.01,0.92,45656232
university road,flat,new,613,5,2,18,3.25,0.66,10171592
aziz bhatti town,plot,new,5487,1,4,6,1.44,0.77,131848161
model town,plot,old,959,4,5,27,2.63,0.81,11491783
university road,flat,old,4494,1,2,22,1.33,0.78,61453345
aziz bhatti town,flat,new,2716,3,2,12,3.33,1.13,94577505
university road,flat,new,4880,1,1,0,1.4,0.94,113328647
satellite town,plot,used,2353,5,4,13,1.77,0.57,24706302
university road,flat,old,2320,5,1,17,1.63,0.74,33354071
university road,flat,old,3002,6,4,34,2.87,0.56,37298813
university road,plot,used,1922,6,1,5,3.7,0.94,48439493
model town,flat,used,3534,1,2,5,2.19,0.76,43145602
university road,house,used,3024,5,2,10,1.7,0.79,56150713
aziz bhatti town,plot,new,5109,6,3,24,2.55,0.69,116201114
satellite town,plot,used,5245,5,4,13,1.7,0.82,79090443
satellite town,plot,used,3737,1,5,4,4.61,0.75,53691061
university road,flat,new,4000,3,3,6,4.23,1.18,123578177
model town,plot,new,3352,6,3,17,4.69,0.7,46919813
model town,house,old,5805,3,4,14,1.82,0.84,71208879
aziz bhatti town,house,new,2988,3,1,27,2.75,1.2,100262268
university road,plot,old,4082,4,2,10,2.95,1.16,98549418
satellite town,house,used,2894,6,2,14,1.44,0.83,43286982
model town,flat,old,2507,3,1,5,4.15,1.09,41387457
university road,plot,new,2755,5,4,16,1.79,1.18,83641347
model town,house,old,3816,3,1,27,3.26,0.82,41059467
model town,flat,old,982,4,3,12,4.37,1.09,16944459
satellite town,plot,old,3791,5,3,19,1.46,0.65,36243069
wapda town,plot,new,4494,1,2,19,3.45,1.06,72927365
aziz bhatti town,plot,old,4406,4,2,7,1.48,0.65,71210415
aziz bhatti town,house,used,3249,3,3,9,2.16,0.82,73415795
satellite town,plot,used,4507,6,2,25,1.47,0.58,43371668
model town,house,used,3426,4,2,0,4.95,0.79,48711021
university road,flat,used,5912,5,3,17,1.03,0.61,78999963
model town,flat,old,5582,5,5,4,3.05,1.13,111624769
satellite town,flat,used,2746,6,1,32,2.18,1.08,50068894
aziz bhatti town,plot,old,3750,3,3,33,2.17,0.99,84728252
model town,flat,new,3575,5,4,14,3.9,0.63,47317493
aziz bhatti town,house,old,3268,6,5,24,1.31,0.9,79984417
university road,house,new,3407,3,3,13,4.9,1.15,104171530
aziz bhatti town,house,new,1949,3,2,15,4.86,1.11,69077215
aziz bhatti town,house,used,942,1,4,17,2.54,0.74,18355075
wapda town,house,used,1263,1,5,13,3.58,0.62,12720238
wapda town,house,new,1573,6,5,23,4.62,0.95,29467020
wapda town,flat,used,2218,1,3,16,4.91,1.0,32301156
aziz bhatti town,plot,old,5721,6,2,7,2.01,1.12,176780128
satellite town,house,used,1864,5,4,24,1.18,0.64,19924796
aziz bhatti town,flat,old,3825,1,1,10,2.91,0.63,59080684
satellite town,flat,used,1730,1,1,2,1.05,0.98,27364010
satellite town,house,old,4086,4,1,7,1.93,0.81,49605364
wapda town,flat,new,5611,4,3,16,1.99,0.96,86117187
model town,house,used,3442,5,2,25,4.01,1.11,62361286
university road,plot,old,5909,1,2,4,4.35,0.82,103217205
wapda town,house,old,2508,4,5,21,1.25,1.11,37164695
wapda town,plot,old,4458,2,4,1,4.04,1.0,66628814
model town,flat,new,4467,2,2,23,2.92,0.52,37625102
university road,flat,new,1474,2,1,31,1.61,0.57,18457398
aziz bhatti town,house,old,4429,6,4,23,4.43,0.91,114837651
aziz bhatti town,flat,used,1679,1,2,29,2.04,1.14,46974707
wapda town,flat,used,5973,5,1,4,1.14,0.62,59519002
university road,plot,new,3845,5,4,14,3.19,0.71,78965991
wapda town,house,old,2021,2,1,20,3.0,0.95,23368863
satellite town,house,old,3776,4,3,27,2.58,0.85,46308846
wapda town,plot,used,5533,3,1,19,4.18,1.0,76930610
wapda town,plot,new,3284,6,3,29,4.96,1.18,72769903
aziz bhatti town,plot,old,5667,4,1,19,1.29,0.43,55481977
aziz bhatti town,house,new,1502,4,3,4,4.74,0.45,24207640
aziz bhatti town,plot,new,2087,2,3,25,3.96,1.01,62468996
satellite town,house,old,848,4,2,31,4.05,0.41,5042480
aziz bhatti town,plot,old,5370,2,5,30,2.86,0.73,96264589
university road,flat,new,5202,1,4,20,3.28,0.83,104677764
model town,house,new,5110,1,1,22,2.36,0.76,62065768
university road,house,old,5535,5,4,28,3.02,0.98,115528182
university road,house,used,3521,4,1,21,3.5,0.84,63748602
aziz bhatti town,flat,new,5509,2,1,29,4.91,0.93,150674016
model town,flat,used,5665,2,5,18,3.67,0.74,67266660
model town,house,new,3752,4,4,25,4.5,1.08,75806792
model town,plot,new,5262,4,5,21,4.07,0.99,99223336
satellite town,house,new,2642,1,3,7,4.44,0.92,47199501
aziz bhatti town,house,old,1916,3,2,0,1.4,0.48,22605145
model town,flat,old,1906,1,1,19,4.8,1.14,29550406
satellite town,flat,old,3287,2,1,7,3.61,0.73,35657288
wapda town,plot,used,3187,3,3,7,2.49,0.46,21927473
wapda town,plot,used,4933,4,3,1,4.39,0.98,82576172
satellite town,house,used,1113,4,2,30,1.84,0.58,9868649
satellite town,house,old,3087,4,5,7,3.31,0.76,39620801
aziz bhatti town,plot,new,2927,6,1,8,3.09,1.12,115517795
aziz bhatti town,house,new,5446,5,3,32,3.26,0.53,92561869
wapda town,house,used,2706,5,5,24,1.83,1.16,49481199
model town,plot,old,2393,3,4,0,2.11,1.08,39530008
wapda town,plot,old,1971,5,2,9,1.23,0.62,17034586
model town,plot,new,2940,5,1,16,1.35,1.02,51430511
model town,flat,old,5780,1,2,24,3.46,0.96,73154435
aziz bhatti town,plot,used,1783,4,5,20,3.14,0.5,25711822
university road,flat,old,3486,3,4,2,3.43,0.85,65487793
university road,plot,used,1686,1,1,5,3.38,0.49,19116450
satellite town,plot,used,3540,3,2,7,4.7,0.55,32970011
aziz bhatti town,flat,used,4833,4,2,16,2.56,1.16,146298814
model town,flat,used,4490,3,3,22,2.68,0.9,59851202
university road,house,new,851,3,1,19,4.05,1.0,19818367
model town,house,old,4443,5,1,16,4.24,0.89,58399118
university road,house,old,3114,3,2,34,1.23,1.13,61537057
university road,flat,new,5668,5,2,10,4.75,0.85,136331695
university road,plot,new,2870,5,3,28,3.45,0.84,62724028
aziz bhatti town,flat,old,5883,4,5,16,2.71,0.66,99756789
wapda town,plot,new,3638,6,2,23,2.19,0.45,27966539
model town,plot,old,5038,3,5,4,4.61,1.0,84057769
aziz bhatti town,plot,new,5653,5,2,13,4.22,1.11,217175480
aziz bhatti town,house,new,3687,5,5,3,4.9,0.9,132240374
aziz bhatti town,flat,old,3215,2,4,4,1.3,1.02,85227797
aziz bhatti town,flat,used,5332,5,2,12,2.4,0.58,91542868
aziz bhatti town,house,new,3117,5,3,9,1.74,0.95,99504499
satellite town,plot,used,608,3,4,19,4.94,0.94,9489796
model town,house,used,977,4,3,8,2.16,0.81,13210301
aziz bhatti town,plot,new,1289,4,5,26,2.35,0.49,20019789
model town,house,used,1624,4,1,9,2.57,0.79,20999729
satellite town,flat,old,2693,3,2,2,4.62,0.53,22581117
satellite town,house,old,2270,1,2,34,2.47,0.55,16612103
model town,flat,used,5509,5,2,10,4.81,0.6,59733949
university road,plot,old,2025,3,1,23,4.26,1.06,40365194
wapda town,house,new,3997,2,2,17,2.26,0.85,50554077
university road,house,used,2287,4,1,21,3.31,0.66,32388404
university road,house,new,639,3,1,20,4.22,0.66,9860404
university road,house,new,1822,6,2,20,3.2,1.15,55007468
aziz bhatti town,flat,old,2890,6,4,28,4.32,0.94,77207865
satellite town,flat,used,5827,2,1,24,1.78,0.55,46592333
university road,house,old,640,2,2,9,1.76,0.84,10353692
satellite town,flat,old,5619,2,5,29,3.0,0.72,59425023
model town,house,used,4336,6,1,26,3.34,0.66,48072974
wapda town,flat,new,3134,2,1,25,3.36,0.89,42610717
model town,flat,used,5596,3,3,21,3.0,0.49,40924124
model town,flat,new,751,6,2,7,3.27,1.09,16712669
aziz bhatti town,house,used,5236,1,3,21,1.43,1.02,132997035
wapda town,house,old,3828,3,1,17,2.14,0.97,44269674
model town,flat,used,4309,6,2,11,2.31,0.89,68320463
model town,plot,old,2659,1,1,28,4.34,0.88,31488467
wapda town,flat,new,5215,1,5,7,1.78,0.44,39982208
wapda town,house,old,1546,2,1,20,1.04,0.7,12557407
model town,plot,used,1670,3,3,31,4.57,0.43,11118054
wapda town,house,used,1753,6,1,26,1.06,0.63,16382762
model town,plot,used,4813,5,4,22,2.03,0.46,36542045
model town,plot,old,3465,5,1,34,2.47,0.94,46133820
aziz bhatti town,house,old,4214,5,4,14,1.04,1.12,128902410
university road,flat,new,2952,3,5,11,4.35,1.01,82838199
model town,house,used,4392,1,3,20,2.26,1.05,67614084
satellite town,house,new,684,2,1,6,3.32,0.72,9045321
university road,flat,used,2765,5,5,4,1.64,1.19,87540217
university road,flat,old,5958,5,2,26,3.07,0.57,68317221
university road,plot,old,2125,4,1,17,2.78,0.94,38092033
aziz bhatti town,plot,new,5823,6,2,23,1.15,0.65,117047662
model town,flat,used,2778,2,2,29,3.11,1.06,42780163
aziz bhatti town,house,new,666,6,1,13,4.0,0.85,20379373
model town,flat,used,4464,1,4,11,3.32,0.79,59324497
aziz bhatti town,flat,old,1151,5,1,16,4.75,0.49,14607834
aziz bhatti town,flat,new,4186,5,2,30,1.38,0.6,74718592
satellite town,house,old,5473,5,2,25,4.08,0.58,48264061
aziz bhatti town,house,used,3917,1,1,28,3.71,0.83,83035235
wapda town,plot,old,5811,4,1,23,1.93,0.93,67307467
satellite town,flat,old,2104,6,5,15,1.53,0.64,23858375
aziz bhatti town,flat,new,1237,3,5,11,4.08,0.64,27063455
university road,house,old,4205,5,4,2,3.37,0.82,83708974
wapda town,flat,used,2280,3,1,21,4.71,0.62,19895882
wapda town,house,used,4864,1,5,11,4.98,0.7,57126994
wapda town,plot,old,907,1,5,3,1.05,1.17,15176305
satellite town,plot,new,3291,4,3,14,4.2,0.87,58056003
aziz bhatti town,plot,used,2793,4,5,17,3.6,1.0,81432452
aziz bhatti town,house,new,2599,5,4,7,3.89,0.89,84213605
university road,house,used,4771,2,4,21,3.2,0.76,78340881
university road,flat,old,2169,4,2,23,3.65,1.01,42646058
wapda town,plot,used,924,2,3,11,3.22,0.84,11813395
university road,house,new,5272,3,2,30,4.06,0.95,116664355
satellite town,plot,old,4825,6,1,2,1.13,1.01,81570523
aziz bhatti town,plot,new,2180,2,3,15,4.57,0.47,33474223
wapda town,plot,new,1850,5,5,12,4.59,0.88,33353892
university road,flat,used,4703,1,3,9,2.41,0.44,46337160
satellite town,house,new,1162,4,3,19,2.01,0.49,10083146
satellite town,house,old,1551,5,1,31,1.48,0.49,10857831
university road,house,old,3119,6,3,33,2.98,0.83,55957796
aziz bhatti town,flat,new,700,1,1,25,3.63,0.41,8194386
university road,flat,old,3157,1,2,32,3.33,0.76,44149529
wapda town,flat,old,5870,6,4,25,1.59,0.87,73228222
university road,flat,old,3949,6,4,34,2.5,0.45,39078788
satellite town,house,used,4505,3,3,19,4.2,0.67,47879554
university road,flat,old,3172,3,2,2,1.21,0.75,47007122
aziz bhatti town,house,old,3424,3,5,4,1.67,0.81,74801214
model town,plot,old,5102,5,3,34,3.57,0.64,48900758
university road,house,old,880,6,3,10,1.04,0.96,18931492
aziz bhatti town,plot,new,1581,4,1,7,2.41,1.06,53047343
aziz bhatti town,flat,old,3846,2,1,29,4.83,1.12,101611407
satellite town,plot,old,3730,4,4,29,2.5,0.69,38141979
aziz bhatti town,flat,new,1721,1,4,21,4.58,1.0,53246757
aziz bhatti town,house,new,1323,5,4,11,2.68,0.5,23403859
aziz bhatti town,house,old,2944,3,5,16,3.28,0.45,32859086
aziz bhatti town,flat,old,3071,2,2,5,3.08,0.54,42455945
wapda town,house,used,3699,1,5,11,2.79,1.12,66049459
wapda town,plot,new,1621,4,3,16,4.12,0.41,11177535
satellite town,plot,used,5248,3,4,10,3.73,0.55,50660209
university road,plot,new,4262,6,3,25,2.95,0.61,69883631
aziz bhatti town,flat,old,1184,6,4,28,3.94,0.54,18011708
university road,plot,new,1629,2,5,7,4.71,0.46,20992470
university road,plot,old,1517,5,3,17,1.64,1.03,31274909
satellite town,plot,used,5720,1,2,9,2.66,0.86,79411875
aziz bhatti town,plot,used,3133,5,2,30,2.14,0.42,35609661
aziz bhatti town,plot,used,3383,1,1,34,4.83,0.47,41674702
model town,plot,new,2391,6,3,9,4.52,0.6,31060187
university road,flat,new,4210,1,2,25,3.84,0.61,59515014
university road,plot,old,3558,6,2,16,4.37,1.0,77140570
wapda town,flat,old,3768,4,4,21,2.11,1.19,59456436
model town,flat,old,5763,5,4,21,3.8,0.51,45543113
wapda town,flat,old,5622,6,1,24,2.82,1.05,82273579
wapda town,plot,new,3347,5,1,11,3.44,0.83,50837938
wapda town,plot,old,4430,1,1,28,1.58,0.81,42198709
satellite town,flat,used,4425,6,2,4,4.28,0.46,40828295
satellite town,flat,old,5315,4,3,29,2.2,0.42,31913787
wapda town,plot,used,2360,6,1,7,1.36,0.44,16868704
model town,house,used,5763,5,3,29,3.92,0.9,87016146
university road,house,new,2086,2,2,15,2.56,0.84,42819979
model town,house,old,4111,2,3,28,3.1,1.09,60332997
aziz bhatti town,plot,old,1302,5,3,29,3.75,0.93,31564844
satellite town,flat,new,5620,4,4,13,1.33,0.44,48172824
university road,house,old,955,2,5,17,3.39,0.79,15153397
university road,flat,new,4965,1,4,26,3.98,0.67,81984449
aziz bhatti town,plot,used,3380,5,4,5,2.12,1.08,118314727
aziz bhatti town,flat,new,5470,6,5,2,2.66,0.73,157876870
wapda town,house,old,858,2,5,10,2.61,0.84,10296777
satellite town,plot,new,5388,1,4,3,4.84,1.19,134485055
satellite town,flat,new,2646,2,5,24,1.2,0.7,32405444
model town,plot,used,2544,3,2,29,1.33,0.99,35042866
wapda town,house,new,631,2,4,24,3.99,0.5,5184973
wapda town,house,old,1105,3,4,30,3.56,0.45,6501007
wapda town,house,used,964,1,3,3,1.51,1.14,16691014
wapda town,plot,used,5518,1,5,20,1.55,0.81,63612130
satellite town,plot,new,4967,4,4,26,4.52,0.95,91259770
satellite town,house,old,2595,6,1,23,2.99,0.52,20906747
wapda town,plot,new,3871,4,1,15,2.69,0.43,28562675
model town,plot,new,1153,1,2,12,4.36,1.0,20997513
university road,house,new,2265,5,2,13,4.84,0.88,56518605
university road,house,new,2141,5,3,30,1.91,0.8,42946838
model town,flat,old,3259,4,3,6,1.25,0.74,35430906
wapda town,house,used,5836,3,4,27,2.68,1.01,83854447
satellite town,plot,new,3953,2,3,24,2.46,0.85,57291450
university road,flat,used,3995,4,2,30,4.25,0.96,84122187
aziz bhatti town,plot,old,897,3,1,18,3.37,1.18,24136628
aziz bhatti town,flat,new,5513,1,1,0,4.08,1.03,185210511
model town,plot,used,2553,1,3,22,3.0,0.67,25528848
wapda town,flat,old,1744,5,2,16,3.97,0.47,11227957
university road,flat,used,3734,5,2,16,1.75,0.71,57398440
wapda town,plot,used,2139,5,4,2,4.32,0.74,29102539
university road,flat,old,5773,2,1,2,2.79,0.45,53348424
model town,plot,new,3135,1,1,21,2.77,0.88,44526833
model town,plot,used,2417,3,2,14,3.77,1.08,41866911
aziz bhatti town,flat,used,2464,3,5,7,1.2,0.64,44914501
wapda town,house,old,798,3,2,1,1.1,0.86,9015495
aziz bhatti town,house,new,3624,2,2,29,1.09,0.72,70060938
wapda town,house,new,1689,2,2,0,2.22,0.95,26963772
aziz bhatti town,plot,used,2073,1,4,25,1.33,0.6,31796976
satellite town,plot,new,883,4,3,3,4.32,0.59,11016680
satellite town,house,used,1082,5,3,4,2.77,1.01,20842416
satellite town,plot,new,1066,6,2,2,2.75,0.79,18249950
satellite town,house,used,4206,2,4,18,2.74,0.45,29853800
university road,plot,old,1499,2,1,12,4.05,0.73,22258682
satellite town,plot,used,817,5,2,18,1.48,0.98,12709862
model town,plot,old,2050,2,4,17,4.15,0.73,21253232
model town,house,new,5600,2,2,3,4.98,0.73,78532376
university road,flat,new,2745,2,3,20,1.57,0.8,49640908
satellite town,plot,old,5496,2,3,22,4.25,0.79,62058202
satellite town,plot,new,2846,2,3,16,3.78,0.71,35550753
satellite town,house,old,1151,5,1,12,4.08,0.63,11983908
aziz bhatti town,house,old,1548,2,1,18,3.13,0.96,33695921
wapda town,plot,used,5629,1,5,3,2.56,0.94,87249414
aziz bhatti town,plot,used,2426,6,1,4,1.01,0.53,39992610
wapda town,flat,used,3495,5,3,30,2.77,0.99,52726947
satellite town,plot,old,5266,2,5,8,1.85,0.67,54788376
satellite town,plot,used,1801,2,4,12,2.06,0.77,23388423
aziz bhatti town,plot,old,1047,4,5,19,1.89,0.81,21360346
aziz bhatti town,flat,used,2623,3,1,20,3.84,0.94,63165042
wapda town,plot,used,5559,1,5,2,1.85,0.45,40544236
model town,flat,old,3247,3,2,16,1.99,1.19,49177763
wapda town,house,used,5355,3,5,22,2.53,0.8,62444438
aziz bhatti town,plot,old,3198,5,1,1,3.07,0.69,62127224
aziz bhatti town,plot,new,5325,4,3,22,1.39,0.7,109052904
university road,plot,old,4890,4,2,16,1.03,0.9,80411080
aziz bhatti town,plot,old,2719,3,1,13,1.71,0.47,30434350
university road,flat,used,825,2,3,4,4.62,0.47,9511901
model town,house,new,4197,1,2,4,3.3,1.1,85301103
wapda town,house,new,2028,2,2,26,1.98,0.77,23078337
wapda town,flat,old,5628,3,5,31,1.37,0.84,60286074
university road,flat,used,4849,2,5,1,2.58,1.03,123592761
wapda town,flat,new,4522,6,5,4,1.86,0.87,82147039
aziz bhatti town,flat,old,3880,4,4,28,1.45,0.94,88372463
satellite town,plot,used,4599,1,1,6,2.7,0.72,53506145
university road,plot,old,602,6,1,2,4.28,0.44,6478424
wapda town,flat,new,4771,2,1,34,1.95,0.46,32411195
university road,plot,used,1427,1,4,19,2.59,0.83,25219936
university road,plot,new,1316,5,2,0,4.79,1.04,40315079
satellite town,house,old,3952,3,1,22,1.23,1.16,59173465
aziz bhatti town,plot,new,5429,4,3,8,2.28,0.68,119984831
university road,house,used,5655,2,4,24,1.49,0.99,116056261
wapda town,plot,new,4516,3,4,31,1.17,0.92,63800392
model town,house,new,5175,2,3,9,2.83,0.66,61805719
university road,house,used,2823,5,5,4,2.86,1.13,87417900
university road,house,old,5275,4,4,14,2.57,1.15,132616421
satellite town,house,used,4743,1,4,34,1.69,1.01,73659300
aziz bhatti town,flat,old,3403,3,4,2,3.5,0.64,59693346
model town,plot,old,1341,6,3,29,3.47,0.7,14662423
wapda town,flat,new,3020,1,3,31,4.71,0.73,35794947
model town,plot,used,1697,5,3,11,4.35,0.66,20628899
wapda town,flat,old,1556,1,1,27,3.99,0.6,11631257
aziz bhatti town,plot,old,3851,6,3,8,1.82,0.98,106748928
wapda town,flat,old,2731,1,1,9,1.38,0.58,20147750
satellite town,flat,new,2638,1,1,12,3.06,0.49,23595537
satellite town,house,used,5055,3,2,8,2.62,1.1,89678353
satellite town,flat,new,2011,2,5,27,4.84,1.2,46043456
satellite town,house,old,3096,2,2,22,4.71,1.0,43419398
model town,house,old,2458,4,1,27,2.12,0.82,27020895
aziz bhatti town,flat,used,5164,6,4,0,3.5,0.78,141065290
wapda town,plot,used,3327,5,2,9,2.14,0.75,39522015
wapda town,flat,used,3554,6,4,16,3.42,0.64,37872819
satellite town,house,old,953,5,2,25,4.62,0.82,12030596
satellite town,house,old,4284,1,3,20,2.54,0.51,29993379
university road,flat,old,3869,5,5,18,4.64,0.53,46641033
aziz bhatti town,flat,used,4459,2,2,34,4.79,0.53,61885580
model town,flat,new,875,4,3,19,1.53,0.55,8151001
wapda town,flat,new,5309,5,3,31,2.99,0.62,56474720
university road,plot,old,5631,5,2,0,1.36,0.79,97049122
university road,house,old,4295,4,1,5,2.2,0.96,87650837
wapda town,flat,new,1529,3,5,8,1.63,0.59,15660978
model town,flat,new,606,5,3,2,2.07,0.73,8991511
university road,flat,old,903,6,2,31,1.68,0.7,12854471
university road,house,used,628,5,3,2,2.35,0.94,15100299
aziz bhatti town,house,old,646,4,1,17,2.41,0.51,7709761
model town,house,used,601,1,4,9,2.11,0.57,5598013
university road,flat,new,4520,4,5,26,2.7,0.69,80520141
model town,house,new,782,2,4,24,2.41,1.04,13793939
wapda town,flat,new,3564,5,5,0,2.38,1.05,75693061
satellite town,flat,new,4432,3,1,28,1.93,0.49,35490746
university road,plot,old,2432,3,2,0,2.45,0.43,21300593
aziz bhatti town,plot,new,3849,1,1,23,3.25,1.11,120897357
wapda town,plot,used,2801,4,5,6,4.38,0.71,34557701
model town,house,used,5954,3,4,32,3.76,0.57,53069664
